Review Type,Station,Parameter,Start,End,Original Flag,Decision,Action,Decision Reason,Values Changed,Final Max Hourly Change,Final Review Jump Count,Final Severe Jump Count,Max Cross-Depth Abs Corr,Status,Review Date
verylong_segment,CB01,SWC_5,2022-04-17 11:00:00,2022-06-08 11:00:00,large_hourly_jump,accepted_event_supported_nonsevere_jump,Keep the current fill; no additional repair is required.,The jump is below the severe repair threshold and is supported by concurrent rainfall and/or a response at other soil depths.,0,0.1595284140398498,1,0,0.8293805373882389,closed,2026-08-07
verylong_segment,CB07,SWC_10,2024-03-06 02:00:00,2024-06-05 05:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.0432427696857634,0,0,0.5561763370335779,closed,2026-08-07
verylong_segment,CB07,SWC_10,2024-08-09 17:00:00,2025-02-06 14:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.0358852361084177,0,0,0.8211583212406744,closed,2026-08-07
verylong_segment,CB07,SWC_20,2024-08-09 17:00:00,2025-02-06 14:00:00,high_donor_mean_fraction,accepted_with_caveat_low_cross_depth_agreement,Keep the current fill and retain a lower-confidence donor-fill caveat.,"The segment is complete, physical, variable, and has no review-level hourly jump, but cross-depth shape agreement is below 0.5.",0,0.0925108390323661,0,0,0.3442762785132915,closed,2026-08-07
verylong_segment,CB07,T_10,2024-03-06 02:00:00,2024-06-05 05:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,1.7309207427190358,0,0,0.9716825378049768,closed,2026-08-07
verylong_segment,CB07,T_10,2024-08-09 17:00:00,2025-02-06 14:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,1.138085672327442,0,0,0.9921721188100376,closed,2026-08-07
verylong_segment,CB07,T_20,2024-03-06 02:00:00,2024-06-05 05:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.6673390220860398,0,0,0.9604448592418598,closed,2026-08-07
verylong_segment,CB07,T_20,2024-08-09 17:00:00,2025-02-06 14:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.5292185589613325,0,0,0.9890672641094924,closed,2026-08-07
verylong_segment,CB07,T_5,2024-03-06 02:00:00,2024-06-05 05:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,2.5517616039271864,0,0,0.9716825378049768,closed,2026-08-07
verylong_segment,CB07,T_5,2024-08-09 17:00:00,2025-02-06 14:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,1.8676509400076424,0,0,0.9921721188100376,closed,2026-08-07
verylong_segment,CB10,SWC_10,2024-10-16 02:00:00,2025-02-07 18:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.035875779964142,0,0,0.9405142478286423,closed,2026-08-07
verylong_segment,CB10,SWC_20,2024-10-16 02:00:00,2025-02-07 18:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.0123720699820109,0,0,0.9405142478286423,closed,2026-08-07
verylong_segment,CB10,SWC_5,2024-10-16 02:00:00,2025-02-07 18:00:00,high_donor_mean_fraction,accepted_with_caveat_donor_mean,Keep the current fill and retain donor-mean provenance in the technical record.,"High donor-mean fraction is a method-confidence flag rather than a physical failure; the final segment is complete, in range, and has no review-level hourly jump.",0,0.0372000787769233,0,0,0.924809945285322,closed,2026-08-07
